Municipio,Latitud,Longitud,Nombre,Categoría,Distancia,Dirección
alcala-de-henares,40.4818396,-3.3644973,Parque O'Donnell,parques,593,"Calle de Luis de Astrana Marín, 8, 28807 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Parque Isla del Colegio,parques,600,Alcalá de Henares Comunidad de Madrid
alcala-de-henares,40.4818396,-3.3644973,Ermita de San Isidro (Alcalá de Henares),parques,711,28805 Alcalá de Henares Comunidad de Madrid
alcala-de-henares,40.4818396,-3.3644973,Parque San Isidro,parques,726,28800 Alcalá de Henares Comunidad de Madrid
alcala-de-henares,40.4818396,-3.3644973,Parque el Silo,parques,768,
alcala-de-henares,40.4818396,-3.3644973,Parque de Sementales,parques,792,Madrid
alcala-de-henares,40.4818396,-3.3644973,OH Alcala Lounge Bar,restaurantes,128,"Calle Trinidad, 8, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,La Española,restaurantes,137,Alcalá de Henares Comunidad de Madrid
alcala-de-henares,40.4818396,-3.3644973,Lizarran,restaurantes,147,"Calle Mayor, 12, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Llaollao (llaollao),restaurantes,155,"Calle Mayor, 21, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Heladeria Dall'agnese,restaurantes,174,"Plaza Cervantes, 30, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,El Ambigu,restaurantes,204,"Calle Cervantes, s/n, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Tony Roma's,restaurantes,208,"Calle Tinte, 1, 28801 Alcalá de Henares Madrid"
alcala-de-henares,40.4818396,-3.3644973,Granier,restaurantes,234,"Calle Libreros, 18 (Libreros 26), 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Plademunt. el restaurante Imaginario,restaurantes,236,"Calle Francisco Díaz, 1 (Plaza de la Paloma), 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Lia Restaurant,restaurantes,241,"Calle Mayor, 56, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Escuela Técnica Superior de Arquitectura y Geodesia - UAH,universidades,90,"Calle Santa Úrsula, 8, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Consejo de Estudiantes de la Universidad de Alcalá,universidades,111,"Callejón de Santa María, s/n, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Facultad de Filosofía y Letras,universidades,113,"Calle Colegios, 2, 28801 Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Biblioteca de Trinitarios,universidades,141,"Calle Trinidad, Nº 1, Alcalá de Henares Comunidad de Madrid"
alcala-de-henares,40.4818396,-3.3644973,Residencia San Ildefonso,universidades,147,"Plaza San Diego, s/n, 28801 Alcalá de Henares Comunidad de Madrid"
