Municipio,Latitud,Longitud
torremocha-de-jarama,40.8358114,-3.4966866
torres-de-la-alameda,40.4021516,-3.360625
tres-cantos,40.6065826,-3.7065333
valdaracete,40.2107697,-3.1954758
valdeavero,40.6309749,-3.3329368
valdelaguna,40.1605777,-3.367827
valdemanco,40.8736636,-3.6636949
valdemaqueda,40.5110297,-4.2977731
valdemorillo,40.5016772,-4.0688878
valdemoro,40.1888604,-3.67143
valdeolmos-alalpardo,40.6385429,-3.4532436
valdepielagos,40.7610144,-3.4656251
valdetorres-de-jarama,40.6956481,-3.5146559
valdilecha,40.2926854,-3.3002096
valverde-de-alcala,40.4180359,-3.2996775
velilla-de-san-antonio,40.367166,-3.4874435
vellon-el,40.7677965,-3.5820099
venturada,40.7985257,-3.6207369
villaconejos,40.1040079,-3.4850284
villa-del-prado,40.2764752,-4.3048032
villalbilla,40.4323665,-3.2987815
villamanrique-de-tajo,40.0686973,-3.240078
villamanta,40.2990939,-4.1090399
villamantilla,40.3421033,-4.1300303
villanueva-de-la-canada,40.4472106,-4.002795
villanueva-del-pardillo,40.4949232,-3.9600065
villanueva-de-perales,40.3466066,-4.1012616
villar-del-olmo,40.3364465,-3.2355624
villarejo-de-salvanes,40.1683582,-3.2738764
villaviciosa-de-odon,40.3573787,-3.9002334
villavieja-del-lozoya,41.0063622,-3.6716291
zarzalejo,40.5483016,-4.1815899
